id;nombre;descripcion;fecha_objetivo;estrategico;peis;area_id;user_id;;;;;;;
68;O1 - OYM;Diseñar y mantener procedimientos institucionales trazables, claros y auditables;;NO;SI;OYM;Stefanelli;;;;;;;
69;O2 - OYM;Auditar periódicamente los sistemas de gestión para detectar desviaciones y riesgos de corrupción;;NO;SI;OYM;Stefanelli;;;;;;;
70;O3 - OYM;Normalizar la gestión documental con criterios de integridad, acceso y conservación;;NO;SI;OYM;Stefanelli;;;;;;;
71;O4 - OYM;Coordinar la revisión de procesos críticos con enfoque de integridad  ;;NO;SI;OYM;Stefanelli;;;;;;;
72;O5 - OYM;Capacitar a las áreas en el uso correcto de procedimientos y registros;;NO;SI;OYM;Stefanelli;;;;;;;
73;O6 - OYM;Participacion activa en la Red  de Calidad y  Mejora Continua de la Gestion. del Mniisterio de Infraestructura y Obras Publicas;;NO;SI;OYM;Stefanelli;;;;;;;
74;O1 - UAI;Garantizar la Cobertura y Cumplimiento del Plan de Auditoría ;;NO;SI;UAI;Castiglioni;;;;;;;
75;O2 - UAI;Identificar Focos de Mejora y Riesgo ;;NO;SI;UAI;Castiglioni;;;;;;;
76;O3 - UAI; Fomentar la Agilidad en la Resolución de Desvíos;;NO;SI;UAI;Castiglioni;;;;;;;
77;O4 - UAI; Asegurar la Eficacia de las Soluciones Implementadas;;NO;SI;UAI;Castiglioni;;;;;;;
78;O5 - UAI;Disponer de un equipo de auditores formados;;NO;SI;UAI;Castiglioni;;;;;;;
